ID Number,Project Name,Year Reported,"Brief Habitat Description (sources of impacts, significant features, site uses, etc.)",Project Description,GPRA Habitat Type (more complex),Habitat Type (basic ESA categories)(existing databases),HMPU Habitat Type for Restoration,Restoration Technique (GPRA dropdown menu),GPRA Activity (slightly more complex),Basic Activity (Enhance/Rest),"Previously Reported (same location, different technique) (Yes/No dropdown menu)?",Acres,Linear Miles,Linear Feet,"Latitude (decimal degrees, minimum 3 decimals)","Longitude (decimal degrees, minimum 3 decimals)","Lead Partner/Implementor (please spell out everything, no acronyms)","Other Partners (please spell out everything, no acronyms)",Site Ownership,Total Project Cost (best guess),Donated Land at no cost (Yes/No dropdown menu),Primary Funding Source,Project Benefits (dropdown menu),Photo 1 (Before) Credit,Photo 1 (Before) Caption,Photo 2 (During) Credit,Photo 2 (During) Caption,Photo 3 (After) Credit,Photo 3 (After) Caption,Project Completion Date (month/year) (start date prior to 2020),TBEP Notes,Oyster?
LS-055,Canterbury School Bay Restoration,2011, ,Students shoveled 24 tons of shell into mesh bags. The bags were transported by boat and students stacked the shell-filled mesh bags to create a reef structure.,,Estuarine,,,,Restoration,,,,225,27.8552,-82.61909,Tampa Bay Watch, ,,0,, ,Reef Construction - Natural Materials,,,,,,, ,,
LS-056,Tarpon Key Oyster Bar Creation Project,2011, ,"This project is a community-based oyster reef creation project, to install recycled oyster shell along the western shoreline of Tarpon Key.",,Estuarine,,,,Restoration,,,,250,27.66365,-82.69234,Tampa Bay Watch, ,,0,, ,Reef Construction – Artificial Materials,,,,,,, ,,x
R-107,Newman Branch Phase II,2011,,Wetland and mangrove restoration,,Estuarine,,,,Restoration,,12,,,27.78027,-82.4031,Ecosphere Restoration Institute,,,,,,,,,,,,,,,
R-108,Three Mile North Reef,2011,,"Portions of the Sunshine Skyway Fishing Pier will be demolished and submerged to create 70,000 tons of artificial reef.",,Estuarine,,Reef Construction - Artificial Materials,,Restoration,,23,, ,27.537,-82.745,Manatee County Natural Resources,,,,,,,,,,,,,,,
SEP-002,Bayshore Beautiful HOA Seawall Oyster Dome Project,2011, ,"Installation of 793 marine friendly, hollow, concrete oyster domes to create fisheries habitat and provide stormwater biological filters.",,Estuarine,,,,Restoration,,,,1156,27.89866,-82.48832,Tampa Bay Watch, ,,0,, ,Reef Construction - Artificial Materials,,,,,,, ,,x
E-159,Bay Pines,2012,,Invasive plant species such as Brazilian pepper and lead trees were removed through a contractor. Trees were cut and the stumps treated to prevent re-growth. Stump removal and maintenance of area is overseen by St. Petersburg College Seminole campus.,,Estuarine,,Invasives Control/Removal - Vegetation,,Enhancement,,12,, ,27.811,-82.786,Tampa Bay Watch,,,,,,,,,,,,,,,
E-160,Brooker Creek Preserve - South Invasive Plant Management,2012,Area within Brooker Creek Preserve consisting of flatwoods and hammock invaded by non-native vegetation.,"Herbicide treatment of nuisance exotic vegetation such as Brazilian pepper, air potato, cogon grass, guinea grass, Japanese climbing fern, torpedo grass, wedelia.",,Upland,,Invasives Control/Removal - Vegetation,,Enhancement,,20,, ,28.065,-82.689,Pinellas County Parks and Conservation Resources,,,22380,,,,,,,,,,31-Aug-12,,
E-161,Brooker Creek Preserve Pine Ridge Invasive Plant Management,2012,Flatwoods and hammock areas within Brooker Creek Preserve that are being invaded by non-native invasive vegetation.,"Herbicide treatment of nuisance exotic vegetation such as air potato, Brazilian pepper, camphor.",,Upland,,Invasives Control/Removal - Vegetation,,Enhancement,,5.5,, ,28.122,-82.69,Pinellas County Parks and Conservation Resources,,,8567,,,,,,,,,,31-Aug-12,,
E-162,Brooker Creek Preserve Prescribed Burn (Unit-Lora Lane to Diagonal),2012,"The area within Brooker Creek is flatwoods located north of Lora Lane to the powerline intersection, in Pinellas County.",Prescribed burn to restore or improve flatwood habitats within the Preserve area as well as control pests and improve ecosystem diversity.,,Upland,,Prescribed Burn,,Enhancement,,22,, ,28.116,-82.672,Pinellas County Parks and Conservation Resources,Florida Forest Service,,3000,,,,,,,,,,31-Jul-12,,
E-163,Brooker Creek Preserve Prescribed Burn (Unit-Worthington Cir),2012,The area within Brooker Creek is flatwoods located north of Worthington Court near the Ridgemoor subdivision in Pinellas County.,Prescribed burn to restore or improve flatwood habitats within the Preserve area as well as control pests and improve ecosystem diversity.,,Upland,,Prescribed Burn,,Enhancement,,12,, ,28.117,-82.684,Pinellas County Parks and Conservation Resources,Florida Forest Service,,3000,,,,,,,,,,30-Jun-12,,
E-164,Clam Bayou: Phase 2,2012,,exotic removal,,Upland,,Invasive Removal - Vegetation,,Enhancement,,30,,,27.73946,-82.69468,City of St. Petersburg,,,,,,,,,,,,,,,
E-165,Cockroach Bay Aquatic Preserve,2012,,Planting of salt marsh is utilized for shoreline stabilization and habitat enhancement at the project location.,,Estuarine,,Shoreline Stabilization/Enhancement,,Enhancement,,10,, ,27.822,-82.472,Tampa Bay Watch,,,,,,,,,,,,,,,
E-166,Cow Branch Invasive Plant Management,2012,"Cow Branch Management Area located south of Lake Tarpon supports flatwoods, floodplain, swamps and hammock. Areas have been invaded by non-native vegetation.","Herbicide treatment of nuisance exotic vegetation such as air potato, caesarweed, taro, guinea grass and cogon grass.",,Upland,,Invasives Control/Removal - Vegetation,,Enhancement,,1.4,, ,28.072,-82.713,Pinellas County Parks and Conservation Resources,,,2074,,,,,,,,,,31-Aug-12,,
E-167,East Lake Management Area Invasive Plant Management,2012,East Lake Management Area is located between Brooker Creek and Lake Tarpon and contains a large continuous forested wetland system.,"Herbicide treatment of nuisance exotic vegetation such as air potato, Brazilian pepper, camphor, caesarweed, wedelia, castor bean and elephant ear.",,Upland,,Invasives Control/Removal - Vegetation,,Enhancement,,3.7,, ,28.096,-82.7,Pinellas County Parks and Conservation Resources,,,2074,,,,,,,,,,31-Aug-12,,
E-168,Fort De Soto Native Coastal Planting - Site #2,2012,,Community volunteers planted high marsh plants in stormwater swales in the north parking lot of Fort De Soto Park to control stormwater runoff.,,Freshwater,,Vegetation Buffer,,Enhancement,,0.17,, ,27.638,-82.736,Tampa Bay Watch,,,,,,,,,,,,,,,
E-169,Fort De Soto Native Coastal Planting - Site #4,2012,,Community volunteers will plant high marsh plants in stormwater swales in the north parking lot of Fort De Soto Park to control stormwater runoff.,,Freshwater,,Vegetation Buffer,,Enhancement,,0.19,, ,27.635,-82.735,Tampa Bay Watch,,,,,,,,,,,,,,,
E-170,Give A Day for the Bay - Lake Seminole Park,2012,,Community volunteers work with County park staff to remove invasive air potato vines and tubers.,,Upland,,Invasives Control/Removal - Vegetation,,Enhancement,,5,, ,27.841,-82.774,Tampa Bay Estuary Program,,,,,,,,,,,,,,,
E-171,Give A Day for the Bay - Lake Seminole Park,2012,,Community volunteers work with County park staff to remove invasive air potato vines and tubers.,,Upland,,Invasives Control/Removal - Vegetation,,Enhancement,,5,,,27.841,-82.774,Tampa Bay Estuary Program,,,,,,,,,,,,,,,
E-172,Give A Day for the Bay - Little Manatee River State Park,2012,,Community volunteers worked to remove invasive skunk vine along the The Florida National Scenic Trail located within the park.,,Upland,,Invasives Control/Removal - Vegetation,,Enhancement,,0.5,, ,27.657,-82.373,Tampa Bay Estuary Program,,,,,,,,,,,,,,,
E-173,Give A Day for the Bay - Rye Preserve,2012,,Community volunteers removed one ton of debris and invasive plants along the hiking trails within the Park.,,Upland,,Invasives Control/Removal - Vegetation,,Enhancement,,0.5,, ,27.513,-82.364,Tampa Bay Estuary Program,,,,,,,,,,,,,,,
E-174,Give A Day for the Bay - Sawgrass Lake Park,2012,,"Community volunteers worked to remove invasive air potato tubers within the Sawgrass Lake Park, off the dirt trail. Volunteers collected several hundred pounds of invasive potatoes.",,Upland,,Invasives Control/Removal - Vegetation,,Enhancement,,0.5,, ,27.838,-82.667,Tampa Bay Estuary Program,,,,,,,,,,,,,,,
E-175,Give A Day for the Bay - South Gandy Park,2012,,Community volunteers removed more than 5 tons of invasive Brazilian pepper from the area. Also removed other invasive plants such as lead tree and debris removal from shoreline.,,Estuarine,,Invasives Control/Removal - Vegetation,,Enhancement,,7.9,, ,27.89179,-82.53547,Tampa Bay Estuary Program,,,,,,,,,,,,,,,
E-176,Lake Tarpon Management Area Invasive Plant Management,2012,"Lake Tarpon Management Area contains a mosaic of mature floodplain swamp, floodplain forest,and bottomland forest.","Herbicide treatment of nuisance exotic vegetation such as air potato, balsam apple, taro, Chinese tallow, hairy indigo, wedelia, sword fern and Guinea grass.",,Upland,,Invasives Control/Removal - Vegetation,,Enhancement,,7,, ,28.136,-82.71,Pinellas County Parks and Conservation Resources,,,5664,,,,,,,,,,31-Aug-12,,
E-177,Mac Dill Air Force Base,2012,Mac Dill Air Force Base is located in Hillsborough County. The project area is an intertidal wetland habitat area on the Base.,Salt marsh is planted to stabilize the shoreline and provide habitat for wildlife.,,estuarine,,Shoreline Stabilization/Enhancement,,Enhancement,,0.36,,,27.83179,-82.47197,Tampa Bay Watch,,,,,,,,,,,,,,,
E-178,Mac Dill Air Force Base,2012,,Salt marsh is planted to stabilize the shoreline and provide habitat for wildlife.,,Estuarine,,Shoreline Stabilization/Enhancement,,Enhancement,,0.36,, ,27.822,-82.472,Tampa Bay Watch,,,,,,,,,,,,,,,
E-179,MacDill Upland Forest Habitat Management,2012,,"Prescribed fire was used to control invasive species, improve wildlife habitat, reduce hazardous fuel loads, and promote new growth for foraging. A separate area was targeted for invasives control using herbicide application. This area had several spots",,Upland,,Prescribed Burn,,Enhancement,,35,, ,27.867,-82.506,MacDill Air Force Base,,,,,,,,,,,,,,,
E-180,Manatee River Environmental Stewardship Program,2012,,"As part of a day-long environmental stewardship experience, nearly 300 students participated in removing invasive plants from the preserve.",,Estuarine,,Invasives Control/Removal - Vegetation,,Enhancement,,3,, ,27.531,-82.625,Manatee County School for the Arts,,,,,,,,,,,,,,,
E-181,Rock Ponds Upland Restoration 1,2012,,"This project removed invasive vegetation followed by planting of native plants. Areas will be restored to coastal upland, pine flatwoods, hardwood hammocks and mixed pine/flatwood habitats.",,Upland,,Invasives Control/Removal - Vegetation,,Enhancement,,264,, ,27.646,-82.532,SWFWMD,,,,,,,,,,,,,,,
LS-057,Alafia Bank Bird Sanctuary Artificial Reef,2012,In the 1920's dredging to create a shipping channel in Tampa Bay created two man-made islands: Bird Island and Sunken Island. Over time the two islands have become known as Alafia Bank Bird Sanctuary.,"Creation of an artificial reef made from 212 concrete reef balls. Each reef ball is four feet wide and three and a half feet tall, weighing 1,300 pounds. The reef balls will to prevent erosion along the shore and provide habitat for oysters.",,Estuarine,,,,Restoration,,,,425,27.84893,-82.40934,Audubon of Florida, ,,0,, ,Reef Construction - Artificial Materials,,,,,,, ,,x
LS-059,Weedon Island Oyster Bar Creation Project,2012, ,"This project is a community-based oyster reef creation project, to continue the installation of oyster shell bars along the northern shoreline of Riviera Bay. This is Phase 3 of this project.",,Estuarine,,,,Restoration,,,,945,27.85556,-82.61773,Tampa Bay Watch, ,,0,, ,Reef Construction - Natural Materials,,,,,,, ,,x
LS-060,Schultz Nature Preserve Oyster Bar Creation Project,2012, ,"The goal of Tampa Bay Watch's Community Oyster Reef Enhancement Program is to increase the oyster population in Tampa Bay and at the same time, provide habitats for small organisms, prevent erosion, improve water quality and improve fish and wildlife hab",,Estuarine,,,,Restoration,,,,2090,27.81272,-82.40284,Tampa Bay Watch, ,,0,, ,Reef Construction – Artificial Materials,,,,,,, ,,x
LS-061,"Shoreline Enhancement for MacDill Air Force Base, Phase IV",2012, ,"The goal of Tampa Bay Watch’s Community Oyster Reef Enhancement Program is to increase the oyster population in Tampa Bay and at the same time, provide habitats for small organisms",,Estuarine,,,,Restoration,,,,1290,27.82272,-82.47215,Tampa Bay Watch, ,,0,, ,Shoreline Stabilization/Enhancement,,,,,,, ,,x
R-109,Alligator Lake Habitat Restoration,2012,Alligator Lake is located in north Pinellas County and drains directly into Old Tampa Bay. The property contains ruderal uplands and stormwater ditch wetlands.,This project consisted of removal of exotic vegetation and hydrological restoration and creation to improve water quality flowing into Old Tampa Bay.,,Mix (freshwater and upland),,Invasives Control/Removal - Vegetation,,Restoration,,18.64,, ,27.9819,-82.69814,Pinellas County Parks and Conservation Resources,SWFWMD,,1750000,,,,,,,,,,31-Mar-12,,
R-110,Clam Bayou Phase 3,2012,,This final phase of restoration at Clam Bayou consisted of restoration and stormwater treatment and restoration of various coastal upland habitats.,,Upland,,Invasives Control/Removal - Vegetation,,Restoration,,28.36,, ,27.743,-82.685,SWFWMD,,,,,,,,,,,,,,,
R-111,Duette Preserve Hydrological Restoration,2012,,"Man-made ditches associated with historic agricultural use were filled and plugged, contributing over 300 acres of isolated, seasonal wetlands.",,Freshwater,,"Ditch Removal, Filling, or Plugging",,Restoration,,300,, ,27.523,-82.156,Manatee County,,,,,,,,,,,,,,,
R-112,Duette Preserve Hydrological Restoration,2012,,"Man-made ditches associated with historic agricultural use were filled and plugged, contributing over 300 acres of isolated, seasonal wetlands.",,Freshwater,,"Ditch Removal, Filling, or Plugging",,Restoration,,300,,,27.523,-82.156,Manatee County,,,,,,,,,,,,,,,
R-113,Palmetto Estuary Phase 2,2012,,Wetland creation,,Estuarine,,,,Restoration,,1,,,27.51655,-82.56435,Ecosphere Restoration Institute,,,,,,,,,,,,,,,
E-183,Bahia Beach Coastal Restoration,2013,,"Saltmarsh (Spartina alterniflora) is utilized for shoreline stabilization and habitat enhancement at the project location The planting at the 148-acre parcel will help restore estuarine marshes to improve habitat for native fish, invertebrates, birds and ",,Mix (freshwater and upland),,Shoreline Stabilization/Enhancement,,Enhancement,,4,,,27.726,-82.462,Tampa Bay Watch,,,,,,,,,,,,,,,
E-184,Booker Creek Habitat Restoration at Campbell Park,2013,Booker Creek is a nine acre forested and open area park located in St. Petersburg. The Creek drains into Middle Tampa Bay.,The restoration are included approximately 200 feet of steep banks near a pedestrian bridge in Campbell Park. Invasive plants were removed and volunteers installed native plants.,,Freshwater,,Invasives Control/Removal - Vegetation,,Enhancement,,,,300,28.13307,-82.66237,Pinellas County,,,4900,,,,,,,,,,,,
E-185,Diamondback Terrapins in Tampa Bay - Tarpon Key Comprehensive Habitat Restoration Project,2013,,"Removal of invasive Bralizian pepper trees from mangrove fringe, placement of oyster shell bar along western shoreline, and planting of saltmarsh along western shoreline.",,Estuarine,,Invasives Control/Removal - Vegetation,,Enhancement,,,,252,27.666,-82.691,Tampa Bay Watch,,,,,,,,,,,,,,,
E-186,Fort De Soto Native Coastal Planting Site 3,2013,,Volunteers planted intertidal marsh plants in stormwater swales in the north parking lot of Fort De Soto Park to control stormwater runoff.,,Estuarine,,Vegetation Buffer,,Enhancement,,0.27,,,27.636,-82.736,Tampa Bay Watch,,,,,,,,,,,,,,,
E-187,Fort DeSoto Native Coastal Planting Site 1,2013,,Volunteers planted high marsh plants in stormwater swales in the north parking lot of Fort De Soto Park to control stormwater runoff.,,Freshwater,,Vegetation Buffer,,Enhancement,,0.17,,,27.642,-82.739,Tampa Bay Watch,,,,,,,,,,,,,,,
E-188,Give A Day - Rye Preserve,2013,,"Community volunteers work with County park staff to remove invasive air potato vines and tubers, rosary pea, caesar weed, trash and debris.",,Upland,,Invasives Control/Removal - Vegetation,,Enhancement,,8,,,27.513,-82.364,Tampa Bay Estuary Program,,,,,,,,,,,,,,,
E-189,Give A Day for the Bay - Al Palonis Park,2013,,Community volunteers removed more than 4 tons of invasive Brazilian pepper from the area. Also removed other invasive plants such as lead tree and debris removal from shoreline.,,Estuarine,,Invasives Control/Removal - Vegetation,,Enhancement,,2,,,27.892,-82.54,Tampa Bay Estuary Program,,,,,,,,,,,,,,,
E-190,Give A Day for the Bay - Joe's Creek Park,2013,,Community volunteers removed thirty bags of debris and invasive plants along the creek shoreline and adjacent land areas.,,Estuarine,,Invasives Control/Removal - Vegetation,,Enhancement,,2,,,27.815,-82.692,Tampa Bay Estuary Program,,,,,,,,,,,,,,,
