View_Detail,Federal_Fiscal_Year,Region,State_Code,NEP_Name,Project_Name,Project_Description,Habitat_Description,Habitat_Type,Restoration_Technique,Donated_Land,Data_Unavailable,EPA_Section_320,Total_Project_Cost,Project_Benefits,Activity_Name,Lead_Implementer,Partners,Main_Funding_Source,Site_Owner,Last_Updated_Date,NEP_Comments,HQ_Comments,HQ_Status,Region_Status,Total_Cost,Author,Submitter_Email,PrimaryHabitat,SecondaryHabitat,Acres,Miles,Latitude,Longitude,Feet,ID_Number,GeneralHabitat,GeneralActivity,BeforePhotoCredit,BeforePhotoCaption,DuringPhotoCredit,DuringPhotoCaption,AfterPhotoCredit,AfterPhotoCaption,TBEP_Notes
3116,2012,Region 4,FL,Tampa Bay Estuary Program,Cow Branch Invasive Plant Management,"Herbicide treatment of nuisance exotic vegetation such as air potato, caesarweed, taro, guinea grass and cogon grass.","Cow Branch Management Area located south of Lake Tarpon supports flatwoods, floodplain, swamps and hammock. Areas have been invaded by non-native vegetation.",,Invasives Control/Removal - Vegetation,,,0,2074,,,Pinellas County Parks and Conservation Resources,,,,29-AUG-12 12.00.00.000000000 AM -05:00,,,APPROVED,APPROVED,,,ron@tbep.org,,,1.4,,28.072,-82.713,,E-166,Upland,Enhancement,,,,,,,
3225,2012,Region 4,FL,Tampa Bay Estuary Program,Curosity Creek Preserve,Donation of successful mitigation site containing various forested upland and freshwater wetland habitats.,"This property contains forested uplands, wetlands, and oak hammock.",Forest/Woodland,Land Acquisition,,,0,4212905,Protect or preserve open space,Protection,Manatee County,,Gulfstream,Manatee County,29-AUG-12 12.00.00.000000000 AM -05:00,,,APPROVED,APPROVED,,,ron@tbep.org,Uplands (Non-coastal),,164,,27.645,-82.513,,,Uplands,Restoration,,,,,,,
3428,2012,Region 4,FL,Tampa Bay Estuary Program,Duette Preserve Hydrological Restoration,"Man-made ditches associated with historic agricultural use were filled and plugged, contributing over 300 acres of isolated, seasonal wetlands.",,,"Ditch Removal, Filling, or Plugging",,,0,,,,Manatee County,,,,29-AUG-12 12.00.00.000000000 AM -05:00,,,APPROVED,APPROVED,,,ron@tbep.org,,,300,,27.523,-82.156,,R-111,Freshwater,Restoration,,,,,,,
3113,2012,Region 4,FL,Tampa Bay Estuary Program,East Lake Management Area Invasive Plant Management,"Herbicide treatment of nuisance exotic vegetation such as air potato, Brazilian pepper, camphor, caesarweed, wedelia, castor bean and elephant ear.",East Lake Management Area is located between Brooker Creek and Lake Tarpon and contains a large continuous forested wetland system.,,Invasives Control/Removal - Vegetation,,,0,2074,,,Pinellas County Parks and Conservation Resources,,,,29-AUG-12 12.00.00.000000000 AM -05:00,,,APPROVED,APPROVED,,,ron@tbep.org,,,3.7,,28.096,-82.7,,E-167,Upland,Enhancement,,,,,,,
3316,2012,Region 4,FL,Tampa Bay Estuary Program,Fort De Soto Native Coastal Planting - Site #2,Community volunteers planted high marsh plants in stormwater swales in the north parking lot of Fort De Soto Park to control stormwater runoff.,,,Vegetation Buffer,,,0,,,,Tampa Bay Watch,,,,29-AUG-12 12.00.00.000000000 AM -05:00,,,APPROVED,APPROVED,,,ron@tbep.org,,,0.17,,27.638,-82.736,,E-168,Freshwater,Enhancement,,,,,,,
3166,2012,Region 4,FL,Tampa Bay Estuary Program,Fort De Soto Native Coastal Planting - Site #4,Community volunteers will plant high marsh plants in stormwater swales in the north parking lot of Fort De Soto Park to control stormwater runoff.,,,Vegetation Buffer,,,0,,,,Tampa Bay Watch,,,,29-AUG-12 12.00.00.000000000 AM -05:00,,,APPROVED,APPROVED,,,ron@tbep.org,,,0.19,,27.635,-82.735,,E-169,Freshwater,Enhancement,,,,,,,
3183,2012,Region 4,FL,Tampa Bay Estuary Program,Give A Day for the Bay - Lake Seminole Park,Community volunteers work with County park staff to remove invasive air potato vines and tubers.,,,Invasives Control/Removal - Vegetation,,,0,,,,Tampa Bay Estuary Program,,,,29-AUG-12 12.00.00.000000000 AM -05:00,,,APPROVED,APPROVED,,,ron@tbep.org,,,5,,27.841,-82.774,,E-170,Upland,Enhancement,,,,,,,
3255,2012,Region 4,FL,Tampa Bay Estuary Program,Give A Day for the Bay - Little Manatee River State Park,Community volunteers worked to remove invasive skunk vine along the The Florida National Scenic Trail located within the park.,,,Invasives Control/Removal - Vegetation,,,0,,,,Tampa Bay Estuary Program,,,,29-AUG-12 12.00.00.000000000 AM -05:00,,,APPROVED,APPROVED,,,ron@tbep.org,,,0.5,,27.657,-82.373,,E-172,Upland,Enhancement,,,,,,,
3254,2012,Region 4,FL,Tampa Bay Estuary Program,Give A Day for the Bay - Rye Preserve,Community volunteers removed one ton of debris and invasive plants along the hiking trails within the Park.,,,Invasives Control/Removal - Vegetation,,,0,,,,Tampa Bay Estuary Program,,,,29-AUG-12 12.00.00.000000000 AM -05:00,,,APPROVED,APPROVED,,,ron@tbep.org,,,0.5,,27.513,-82.364,,E-173,Upland,Enhancement,,,,,,,
3181,2012,Region 4,FL,Tampa Bay Estuary Program,Give A Day for the Bay - Sawgrass Lake Park,"Community volunteers worked to remove invasive air potato tubers within the Sawgrass Lake Park, off the dirt trail. Volunteers collected several hundred pounds of invasive potatoes.",,,Invasives Control/Removal - Vegetation,,,0,,,,Tampa Bay Estuary Program,,,,29-AUG-12 12.00.00.000000000 AM -05:00,,,APPROVED,APPROVED,,,ron@tbep.org,,,0.5,,27.838,-82.667,,E-174,Upland,Enhancement,,,,,,,
3182,2012,Region 4,FL,Tampa Bay Estuary Program,Give A Day for the Bay - South Gandy Park,Community volunteers removed more than 5 tons of invasive Brazilian pepper from the area. Also removed other invasive plants such as lead tree and debris removal from shoreline.,,,Invasives Control/Removal - Vegetation,,,0,,,,Tampa Bay Estuary Program,,,,29-AUG-12 12.00.00.000000000 AM -05:00,,,APPROVED,APPROVED,,,ron@tbep.org,,,7.9,,27.89179,-82.53547,,E-175,Estuarine,Enhancement,,,,,,,
3117,2012,Region 4,FL,Tampa Bay Estuary Program,Lake Tarpon Management Area Invasive Plant Management,"Herbicide treatment of nuisance exotic vegetation such as air potato, balsam apple, taro, Chinese tallow, hairy indigo, wedelia, sword fern and Guinea grass.","Lake Tarpon Management Area contains a mosaic of mature floodplain swamp, floodplain forest,and bottomland forest.",,Invasives Control/Removal - Vegetation,,,0,5664,,,Pinellas County Parks and Conservation Resources,,,,29-AUG-12 12.00.00.000000000 AM -05:00,,,APPROVED,APPROVED,,,ron@tbep.org,,,7,,28.136,-82.71,,E-176,Upland,Enhancement,,,,,,,
3315,2012,Region 4,FL,Tampa Bay Estuary Program,Mac Dill Air Force Base,Salt marsh is planted to stabilize the shoreline and provide habitat for wildlife.,Mac Dill Air Force Base is located in Hillsborough County. The project area is an intertidal wetland habitat area on the Base.,,Shoreline Stabilization/Enhancement,,,0,,,,Tampa Bay Watch,,,,29-AUG-12 12.00.00.000000000 AM -05:00,,,APPROVED,APPROVED,,,ron@tbep.org,,Living Shorelines,0.36,,27.83179,-82.47197,,E-177,estuarine,Enhancement,,,,,,,
3185,2012,Region 4,FL,Tampa Bay Estuary Program,MacDill Upland Forest Habitat Management,"Prescribed fire was used to control invasive species, improve wildlife habitat, reduce hazardous fuel loads, and promote new growth for foraging. A separate area was targeted for invasives control using herbicide application. This area had several spots",,,Prescribed Burn,,,0,,,,MacDill Air Force Base,,,,29-AUG-12 12.00.00.000000000 AM -05:00,,,APPROVED,APPROVED,,,ron@tbep.org,,,35,,27.867,-82.506,,E-179,Upland,Enhancement,,,,,,,
3427,2012,Region 4,FL,Tampa Bay Estuary Program,Manatee River Environmental Stewardship Program,"As part of a day-long environmental stewardship experience, nearly 300 students participated in removing invasive plants from the preserve.",,,Invasives Control/Removal - Vegetation,,,0,,,,Manatee County School for the Arts,,,,05-SEP-12 12.00.00.000000000 AM -05:00,,,APPROVED,APPROVED,,,ron@tbep.org,,,3,,27.531,-82.625,,E-180,Estuarine,Enhancement,,,,,,,
3426,2012,Region 4,FL,Tampa Bay Estuary Program,Neal Preserve Habitat Restoration,"Removal of non-native vegetation, creation of both freshwater and tidally-influenced wetlands, installation of native plants.","Coastal uplands, freshwater wetlands and intertidal wetlands at Anna Maria Sound.",Other,Invasives Control/Removal - Vegetation,,,0,166000,Increase or protect water quantity:Protect/improve/provide habitat for other wildlife,Restoration,Manatee County,,Southwest Florida Water Management District,Manatee County,29-AUG-12 12.00.00.000000000 AM -05:00,,,APPROVED,APPROVED,,,ron@tbep.org,Intertidal Estuarine (Other),,6.3,,27.46,-82.266,,,Other,Restoration,,,,,,,
3429,2012,Region 4,FL,Tampa Bay Estuary Program,Perico Preserve Habitat Restoration,Creation of saltwater and freshwater marsh as well as various coastal upland types on former agriculture property.,The property is former agriculture land surrounded by mangrove forest at Perico Bayou.,Other,Planting,,,0,431827,Improve or protect water quality:Protect/improve/provide habitat for other wildlife,Restoration,Manatee County,,Southwest Florida Water Management District,Manatee County,29-AUG-12 12.00.00.000000000 AM -05:00,,,APPROVED,APPROVED,,,ron@tbep.org,Intertidal Estuarine (Other),,25.4,,27.5,-82.678,,,Other,Restoration,,,,,,,
3115,2012,Region 4,FL,Tampa Bay Estuary Program,Restoration of No-Name Retention Pond at The Shores of Long Bayou,Restoration of No-Name Pond was a community effort to improve the water quality draining to Boca Ciega Bay. Restoration of the wetland conservation habitat took place around the pond and conservation education of the entire community of The Shores of Long Bayou was completed.,No-Name retention pond is located in Pinellas County and drains to Boca Ciega Bay. The pond has been taken over by invasive plants.,Lake/Pond,Vegetation Buffer,,,0,11400,Improve or protect water quality:Protect/improve/provide habitat for other wildlife,Restoration,,,Tampa Bay Estuary Program,Nature Reserve of the Shores of Long Bayou Homeowners Association,29-AUG-12 12.00.00.000000000 AM -05:00,,,APPROVED,APPROVED,,,ron@tbep.org,Non-forested Freshwater Wetlands,,0.2,,27.831,-82.772,,,Freshwater,Restoration,,,,,,,
3236,2012,Region 4,FL,Tampa Bay Estuary Program,Rock Ponds Upland Restoration 1,"This project removed invasive vegetation followed by planting of native plants. Areas will be restored to coastal upland, pine flatwoods, hardwood hammocks and mixed pine/flatwood habitats.",,,Invasives Control/Removal - Vegetation,,,0,,,,SWFWMD,,,,29-AUG-12 12.00.00.000000000 AM -05:00,,,APPROVED,APPROVED,,,ron@tbep.org,,,264,,27.646,-82.532,,E-181,Upland,Enhancement,,,,,,,
3114,2012,Region 4,FL,Tampa Bay Estuary Program,Schultz Nature Preserve Oyster Bar Creation Project,"The goal of Tampa Bay Watch's Community Oyster Reef Enhancement Program is to increase the oyster population in Tampa Bay and at the same time, provide habitats for small organisms, prevent erosion, improve water quality and improve fish and wildlife hab",,,,,,0,0,Reef Construction – Artificial Materials,,Tampa Bay Watch,,,,29-AUG-12 12.00.00.000000000 AM -05:00,,,APPROVED,APPROVED,,,ron@tbep.org,,,,0.395833333,27.81272,-82.40284,2090,LS-060,Estuarine,Restoration,,,,,,,
3238,2012,Region 4,FL,Tampa Bay Estuary Program,Seminole Middle School Native Plant Restoration Project,"The restoration of a coastal pine flatwoods ecosystem utilizing native plants to provide food and habitat for wildlife, promote and provide a demonstration site for students, parents and teachers.","Project location on school property consisting of open grass area, pine hammock and a retention pond.",Grassland,Planting,,,0,4000,Improve or protect water quality:Protect/improve/provide habitat for other wildlife,Restoration,,,Tampa Bay Estuary Program,Pinellas County Schools,05-SEP-12 12.00.00.000000000 AM -05:00,,,APPROVED,APPROVED,,,ron@tbep.org,Uplands (Non-coastal),,1.5,,27.856,-82.819,,,Uplands,Restoration,,,,,,,
3100,2012,Region 4,FL,Tampa Bay Estuary Program,"Shoreline Enhancement for MacDill Air Force Base, Phase IV","The goal of Tampa Bay Watch’s Community Oyster Reef Enhancement Program is to increase the oyster population in Tampa Bay and at the same time, provide habitats for small organisms",,,,,,0,0,Shoreline Stabilization/Enhancement,,Tampa Bay Watch,,,,29-AUG-12 12.00.00.000000000 AM -05:00,,,APPROVED,APPROVED,,,ron@tbep.org,,Living Shorelines,,0.244318182,27.82272,-82.47215,1290,LS-061,Estuarine,Restoration,,,,,,,
3430,2012,Region 4,FL,Tampa Bay Estuary Program,Ungarelli Preserve Habitat Restoration,"Removal of invasive exotic plant material, creation of freshwater wetland and installation of native plants.",Disturbed upland surrounded by mangrove forest on the south west shore of Palma Sola Bay.,Salt Marsh,Invasives Control/Removal - Vegetation,,,0,230000,Improve or protect water quality:Protect/improve/provide habitat for other wildlife,Restoration,Manatee County,,Southwest Florida Water Management District,Manatee County,29-AUG-12 12.00.00.000000000 AM -05:00,,,APPROVED,APPROVED,,,ron@tbep.org,Low-Salinity Salt Marsh,,2.6,,27.466,-82.647,,,Estuarine,Restoration,,,,,,,
3256,2012,Region 4,FL,Tampa Bay Estuary Program,Walsingham Park Invasive Plant Control / Give A Day for the Bay,"Project involved treatment of invasive plants followed by debris removal. Community volunteers participated in a debris removal event at Walsingham Park. Debris removal took place along the shoreline and on a island located within the park, not accessible to the public.","Five habitat areas have been delineated within the boundaries of Walsingham Park: botanical gardens, pine flatwoods, oak scrub, Walsingham Reservoir with detention ponds, swales and wetlands; and cleared areas.",Forested Wetland,Invasives Control/Removal - Vegetation,,,0,30520,Protect/improve/provide habitat for birds:Protect/improve/provide habitat for other wildlife,Restoration,,,Tampa Bay Estuary Program,Pinellas County,29-AUG-12 12.00.00.000000000 AM -05:00,,,APPROVED,APPROVED,,,ron@tbep.org,Forested Freshwater Wetlands,,12,,27.865,-82.808,,,Freshwater,Restoration,,,,,,,
3099,2012,Region 4,FL,Tampa Bay Estuary Program,Weedon Island Oyster Bar Creation Project,"This project is a community-based oyster reef creation project, to continue the installation of oyster shell bars along the northern shoreline of Riviera Bay. This is Phase 3 of this project.",,,,,,0,0,Reef Construction - Natural Materials,,Tampa Bay Watch,,,,29-AUG-12 12.00.00.000000000 AM -05:00,,,APPROVED,APPROVED,,,ron@tbep.org,,Hard Bottom,,0.178977273,27.85556,-82.61773,945,LS-059,Estuarine,Restoration,,,,,,,
3690,2013,Region 4,FL,Tampa Bay Estuary Program,Alligator Lake Habitat Restoration,"Exotic invasive plant removal and hydrological restoration/creation within the Alligator Lake drainage basin, which is directly adjacent to Old Tampa Bay.The Alligator Lake Management Area is a 53 acre preserve owned and managed by Pinellas County located",Ruderal upland and stormwater ditch wetlands,,Vegetation Buffer,,,0,1750000,,,SWFWMD,,,,18-SEP-13 12.00.00.000000000 AM -05:00,"09/17/13 13:16 : Ronald A Hosler :  The Alligator Lake Management Area is a 53 acre preserve owned and managed by Pinellas County located adjacent to the City of Safety Harbor in northeastern Pinellas County. The project goal includes the substantial enhancement, restoration and creation of appropriate wetland and upland habitats within a 34 acre portion of the preserve. This is a particularly valuable and important opportunity to provide ecological benefits for wildlife since the habitat value has been degraded by extensive coverage of exotic and nuisance species, and the majority of surrounding property is dominated by residential land use.",09/13/13 16:01 : CN=Nancy Laurson/OU=DC/O=USEPA/C=US : Please redo per Felicia's comments above - thanks!,APPROVED,APPROVED,,,ron@tbep.org,,,19,,27.981,-82.702,,R-114,Mix (freshwater and upland),Restoration,,,,,,,
3694,2013,Region 4,FL,Tampa Bay Estuary Program,Bahia Beach Coastal Restoration,"Saltmarsh (Spartina alterniflora) is utilized for shoreline stabilization and habitat enhancement at the project location The planting at the 148-acre parcel will help restore estuarine marshes to improve habitat for native fish, invertebrates, birds and",,,Shoreline Stabilization/Enhancement,,,0,,,,Tampa Bay Watch,,,,18-SEP-13 12.00.00.000000000 AM -05:00,"09/17/13 13:30 : Ronald A Hosler :  The planting at the 148-acre parcel will help restore estuarine marshes to improve habitat for native fish, invertebrates, birds and mammal species. The creation of these estuarine and freshwater marshes will restore and offset historical losses of wetlands in Tampa Bay. The planting of saltmarsh cord grass protects and stabilizes low lying coastal lands and provides protection and food sources for many species of fish and marine mammals.",,APPROVED,APPROVED,,,ron@tbep.org,,Living Shorelines,4,,27.726,-82.462,,E-183,Mix (freshwater and upland),Enhancement,,,,,,,
3755,2013,Region 4,FL,Tampa Bay Estuary Program,Booker Creek Habitat Restoration at Campbell Park,The restoration are included approximately 200 feet of steep banks near a pedestrian bridge in Campbell Park. Invasive plants were removed and volunteers installed native plants.,Booker Creek is a nine acre forested and open area park located in St. Petersburg. The Creek drains into Middle Tampa Bay.,,Invasives Control/Removal - Vegetation,,,0,4900,,,Pinellas County,,,,05-SEP-13 12.00.00.000000000 AM -05:00,,,APPROVED,APPROVED,,,ron@tbep.org,,,,0.056818182,28.13307,-82.66237,300,E-184,Freshwater,Enhancement,,,,,,,
